Region,Date Range,Segment,Users
Maine,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Maine,"Jan 1, 2023 - Jun 30, 2023",Without /es/,35
Mississippi,"Jan 1, 2023 - Jun 30, 2023",All Users,31
Mississippi,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Mississippi,"Jan 1, 2023 - Jun 30, 2023",Without /es/,31
New Mexico,"Jan 1, 2023 - Jun 30, 2023",All Users,31
New Mexico,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1
New Mexico,"Jan 1, 2023 - Jun 30, 2023",Without /es/,31
Nebraska,"Jan 1, 2023 - Jun 30, 2023",All Users,29
Nebraska,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Nebraska,"Jan 1, 2023 - Jun 30, 2023",Without /es/,29
Vermont,"Jan 1, 2023 - Jun 30, 2023",All Users,27
Vermont,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Vermont,"Jan 1, 2023 - Jun 30, 2023",Without /es/,27
Hawaii,"Jan 1, 2023 - Jun 30, 2023",All Users,23
Hawaii,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1
Hawaii,"Jan 1, 2023 - Jun 30, 2023",Without /es/,22
South Dakota,"Jan 1, 2023 - Jun 30, 2023",All Users,23
South Dakota,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1
South Dakota,"Jan 1, 2023 - Jun 30, 2023",Without /es/,22
Delaware,"Jan 1, 2023 - Jun 30, 2023",All Users,16
Delaware,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Delaware,"Jan 1, 2023 - Jun 30, 2023",Without /es/,16
North Dakota,"Jan 1, 2023 - Jun 30, 2023",All Users,7
North Dakota,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
North Dakota,"Jan 1, 2023 - Jun 30, 2023",Without /es/,7
Alaska,"Jan 1, 2023 - Jun 30, 2023",All Users,6
Alaska,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Alaska,"Jan 1, 2023 - Jun 30, 2023",Without /es/,6
Total,"Jan 1, 2023 - Jun 30, 2023",All Users,10922
Total,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,208
Total,"Jan 1, 2023 - Jun 30, 2023",Without /es/,10782
