Country,Date Range,Segment,Users
Saudi Arabia,"Jan 1, 2023 - Jun 30, 2023",All Users,42
Saudi Arabia,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Saudi Arabia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,41
Bulgaria,"Jan 1, 2023 - Jun 30, 2023",All Users,41
Bulgaria,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Bulgaria,"Jan 1, 2023 - Jun 30, 2023",Without /es/,41
Egypt,"Jan 1, 2023 - Jun 30, 2023",All Users,39
Egypt,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Egypt,"Jan 1, 2023 - Jun 30, 2023",Without /es/,39
Lithuania,"Jan 1, 2023 - Jun 30, 2023",All Users,34
Lithuania,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Lithuania,"Jan 1, 2023 - Jun 30, 2023",Without /es/,33
Nigeria,"Jan 1, 2023 - Jun 30, 2023",All Users,34
Nigeria,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Nigeria,"Jan 1, 2023 - Jun 30, 2023",Without /es/,34
Thailand,"Jan 1, 2023 - Jun 30, 2023",All Users,33
Thailand,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Thailand,"Jan 1, 2023 - Jun 30, 2023",Without /es/,32
Venezuela,"Jan 1, 2023 - Jun 30, 2023",All Users,30
Venezuela,"Jan 1, 2023 - Jun 30, 2023",With /es/,6
Venezuela,"Jan 1, 2023 - Jun 30, 2023",Without /es/,24
Bangladesh,"Jan 1, 2023 - Jun 30, 2023",All Users,27
Bangladesh,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Bangladesh,"Jan 1, 2023 - Jun 30, 2023",Without /es/,27
Croatia,"Jan 1, 2023 - Jun 30, 2023",All Users,27
Croatia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Croatia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,27
Kenya,"Jan 1, 2023 - Jun 30, 2023",All Users,26
Kenya,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Kenya,"Jan 1, 2023 - Jun 30, 2023",Without /es/,26
Ukraine,"Jan 1, 2023 - Jun 30, 2023",All Users,23
Ukraine,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Ukraine,"Jan 1, 2023 - Jun 30, 2023",Without /es/,23
Dominican Republic,"Jan 1, 2023 - Jun 30, 2023",All Users,22
Dominican Republic,"Jan 1, 2023 - Jun 30, 2023",With /es/,2
Dominican Republic,"Jan 1, 2023 - Jun 30, 2023",Without /es/,20
Bolivia,"Jan 1, 2023 - Jun 30, 2023",All Users,20
Bolivia,"Jan 1, 2023 - Jun 30, 2023",With /es/,3
Bolivia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,17
Puerto Rico,"Jan 1, 2023 - Jun 30, 2023",All Users,20
Puerto Rico,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Puerto Rico,"Jan 1, 2023 - Jun 30, 2023",Without /es/,19
Uruguay,"Jan 1, 2023 - Jun 30, 2023",All Users,20
Uruguay,"Jan 1, 2023 - Jun 30, 2023",With /es/,2
Uruguay,"Jan 1, 2023 - Jun 30, 2023",Without /es/,18
Serbia,"Jan 1, 2023 - Jun 30, 2023",All Users,19
Serbia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Serbia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,19
Slovakia,"Jan 1, 2023 - Jun 30, 2023",All Users,17
Slovakia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Slovakia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,17
El Salvador,"Jan 1, 2023 - Jun 30, 2023",All Users,17
El Salvador,"Jan 1, 2023 - Jun 30, 2023",With /es/,5
El Salvador,"Jan 1, 2023 - Jun 30, 2023",Without /es/,12
Iceland,"Jan 1, 2023 - Jun 30, 2023",All Users,16
Iceland,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Iceland,"Jan 1, 2023 - Jun 30, 2023",Without /es/,16
Lebanon,"Jan 1, 2023 - Jun 30, 2023",All Users,16
Lebanon,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Lebanon,"Jan 1, 2023 - Jun 30, 2023",Without /es/,16
Sri Lanka,"Jan 1, 2023 - Jun 30, 2023",All Users,15
Sri Lanka,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Sri Lanka,"Jan 1, 2023 - Jun 30, 2023",Without /es/,15
Panama,"Jan 1, 2023 - Jun 30, 2023",All Users,15
Panama,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Panama,"Jan 1, 2023 - Jun 30, 2023",Without /es/,14
Estonia,"Jan 1, 2023 - Jun 30, 2023",All Users,13
Estonia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Estonia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,13
Ethiopia,"Jan 1, 2023 - Jun 30, 2023",All Users,13
Ethiopia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Ethiopia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,13
Morocco,"Jan 1, 2023 - Jun 30, 2023",All Users,13
Morocco,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Morocco,"Jan 1, 2023 - Jun 30, 2023",Without /es/,13
Nepal,"Jan 1, 2023 - Jun 30, 2023",All Users,13
Nepal,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Nepal,"Jan 1, 2023 - Jun 30, 2023",Without /es/,13
Costa Rica,"Jan 1, 2023 - Jun 30, 2023",All Users,12
Costa Rica,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Costa Rica,"Jan 1, 2023 - Jun 30, 2023",Without /es/,12
Georgia,"Jan 1, 2023 - Jun 30, 2023",All Users,12
Georgia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Georgia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,12
Paraguay,"Jan 1, 2023 - Jun 30, 2023",All Users,12
Paraguay,"Jan 1, 2023 - Jun 30, 2023",With /es/,3
Paraguay,"Jan 1, 2023 - Jun 30, 2023",Without /es/,9
Qatar,"Jan 1, 2023 - Jun 30, 2023",All Users,12
Qatar,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Qatar,"Jan 1, 2023 - Jun 30, 2023",Without /es/,12
Cyprus,"Jan 1, 2023 - Jun 30, 2023",All Users,11
Cyprus,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Cyprus,"Jan 1, 2023 - Jun 30, 2023",Without /es/,10
Jordan,"Jan 1, 2023 - Jun 30, 2023",All Users,11
Jordan,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Jordan,"Jan 1, 2023 - Jun 30, 2023",Without /es/,11
Belarus,"Jan 1, 2023 - Jun 30, 2023",All Users,10
Belarus,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Belarus,"Jan 1, 2023 - Jun 30, 2023",Without /es/,10
Algeria,"Jan 1, 2023 - Jun 30, 2023",All Users,10
Algeria,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Algeria,"Jan 1, 2023 - Jun 30, 2023",Without /es/,10
Ghana,"Jan 1, 2023 - Jun 30, 2023",All Users,10
Ghana,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Ghana,"Jan 1, 2023 - Jun 30, 2023",Without /es/,10
Cuba,"Jan 1, 2023 - Jun 30, 2023",All Users,9
Cuba,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Cuba,"Jan 1, 2023 - Jun 30, 2023",Without /es/,9
Iraq,"Jan 1, 2023 - Jun 30, 2023",All Users,9
Iraq,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Iraq,"Jan 1, 2023 - Jun 30, 2023",Without /es/,9
Kazakhstan,"Jan 1, 2023 - Jun 30, 2023",All Users,9
Kazakhstan,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Kazakhstan,"Jan 1, 2023 - Jun 30, 2023",Without /es/,9
Malta,"Jan 1, 2023 - Jun 30, 2023",All Users,9
Malta,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Malta,"Jan 1, 2023 - Jun 30, 2023",Without /es/,9
North Macedonia,"Jan 1, 2023 - Jun 30, 2023",All Users,8
North Macedonia,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
North Macedonia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,7
Nicaragua,"Jan 1, 2023 - Jun 30, 2023",All Users,8
Nicaragua,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Nicaragua,"Jan 1, 2023 - Jun 30, 2023",Without /es/,7
Uzbekistan,"Jan 1, 2023 - Jun 30, 2023",All Users,8
Uzbekistan,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Uzbekistan,"Jan 1, 2023 - Jun 30, 2023",Without /es/,8
Cambodia,"Jan 1, 2023 - Jun 30, 2023",All Users,7
Cambodia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Cambodia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,7
Latvia,"Jan 1, 2023 - Jun 30, 2023",All Users,7
Latvia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Latvia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,7
Slovenia,"Jan 1, 2023 - Jun 30, 2023",All Users,7
Slovenia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Slovenia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,7
Syria,"Jan 1, 2023 - Jun 30, 2023",All Users,7
Syria,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Syria,"Jan 1, 2023 - Jun 30, 2023",Without /es/,7
Azerbaijan,"Jan 1, 2023 - Jun 30, 2023",All Users,6
Azerbaijan,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Azerbaijan,"Jan 1, 2023 - Jun 30, 2023",Without /es/,6
Tunisia,"Jan 1, 2023 - Jun 30, 2023",All Users,6
Tunisia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Tunisia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,6
Uganda,"Jan 1, 2023 - Jun 30, 2023",All Users,6
Uganda,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Uganda,"Jan 1, 2023 - Jun 30, 2023",Without /es/,6
Armenia,"Jan 1, 2023 - Jun 30, 2023",All Users,5
Armenia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Armenia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,5
Bosnia & Herzegovina,"Jan 1, 2023 - Jun 30, 2023",All Users,5
Bosnia & Herzegovina,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Bosnia & Herzegovina,"Jan 1, 2023 - Jun 30, 2023",Without /es/,5
Bahamas,"Jan 1, 2023 - Jun 30, 2023",All Users,5
Bahamas,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Bahamas,"Jan 1, 2023 - Jun 30, 2023",Without /es/,5
Kuwait,"Jan 1, 2023 - Jun 30, 2023",All Users,5
Kuwait,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Kuwait,"Jan 1, 2023 - Jun 30, 2023",Without /es/,5
Moldova,"Jan 1, 2023 - Jun 30, 2023",All Users,5
Moldova,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Moldova,"Jan 1, 2023 - Jun 30, 2023",Without /es/,5
Seychelles,"Jan 1, 2023 - Jun 30, 2023",All Users,5
Seychelles,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Seychelles,"Jan 1, 2023 - Jun 30, 2023",Without /es/,5
Tanzania,"Jan 1, 2023 - Jun 30, 2023",All Users,5
Tanzania,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Tanzania,"Jan 1, 2023 - Jun 30, 2023",Without /es/,5
Bahrain,"Jan 1, 2023 - Jun 30, 2023",All Users,4
Bahrain,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Bahrain,"Jan 1, 2023 - Jun 30, 2023",Without /es/,4
Honduras,"Jan 1, 2023 - Jun 30, 2023",All Users,4
Honduras,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Honduras,"Jan 1, 2023 - Jun 30, 2023",Without /es/,4
Luxembourg,"Jan 1, 2023 - Jun 30, 2023",All Users,4
Luxembourg,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Luxembourg,"Jan 1, 2023 - Jun 30, 2023",Without /es/,4
Libya,"Jan 1, 2023 - Jun 30, 2023",All Users,4
Libya,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Libya,"Jan 1, 2023 - Jun 30, 2023",Without /es/,4
Myanmar (Burma),"Jan 1, 2023 - Jun 30, 2023",All Users,4
Myanmar (Burma),"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Myanmar (Burma),"Jan 1, 2023 - Jun 30, 2023",Without /es/,4
Oman,"Jan 1, 2023 - Jun 30, 2023",All Users,4
Oman,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Oman,"Jan 1, 2023 - Jun 30, 2023",Without /es/,4
Albania,"Jan 1, 2023 - Jun 30, 2023",All Users,3
Albania,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Albania,"Jan 1, 2023 - Jun 30, 2023",Without /es/,3
Gambia,"Jan 1, 2023 - Jun 30, 2023",All Users,3
Gambia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Gambia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,3
Kyrgyzstan,"Jan 1, 2023 - Jun 30, 2023",All Users,3
Kyrgyzstan,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Kyrgyzstan,"Jan 1, 2023 - Jun 30, 2023",Without /es/,3
Mauritius,"Jan 1, 2023 - Jun 30, 2023",All Users,3
Mauritius,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Mauritius,"Jan 1, 2023 - Jun 30, 2023",Without /es/,3
