Country,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,CoreText - PDF Viewed (Goal 1 Conversion Rate),CoreText - PDF Viewed (Goal 1 Completions),CoreText - PDF Viewed (Goal 1 Value),,,
Denmark,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Denmark,"Jan 1, 2023 - Jun 30, 2023",Without /es/,67,65,89,0.00%,4.69,00:01:07,0.00%,0,$0.00,,,
(not set),"Jan 1, 2023 - Jun 30, 2023",All Users,65,65,77,25.97%,3.49,00:03:03,0.00%,0,$0.00,,,
(not set),"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
(not set),"Jan 1, 2023 - Jun 30, 2023",Without /es/,65,65,77,25.97%,3.49,00:03:03,0.00%,0,$0.00,,,
Malaysia,"Jan 1, 2023 - Jun 30, 2023",All Users,64,64,85,0.00%,3.65,00:00:48,0.00%,0,$0.00,,,
Malaysia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Malaysia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,64,64,85,0.00%,3.65,00:00:48,0.00%,0,$0.00,,,
Peru,"Jan 1, 2023 - Jun 30, 2023",All Users,64,65,73,0.00%,3.73,00:02:21,0.00%,0,$0.00,,,
Peru,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,3,3,3,0.00%,3,<00:00:01,0.00%,0,$0.00,,,
Peru,"Jan 1, 2023 - Jun 30, 2023",Without /es/,61,62,70,0.00%,3.76,00:02:27,0.00%,0,$0.00,,,
Portugal,"Jan 1, 2023 - Jun 30, 2023",All Users,62,63,66,0.00%,3.91,00:01:17,0.00%,0,$0.00,,,
Portugal,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Portugal,"Jan 1, 2023 - Jun 30, 2023",Without /es/,62,63,66,0.00%,3.91,00:01:17,0.00%,0,$0.00,,,
Chile,"Jan 1, 2023 - Jun 30, 2023",All Users,60,60,75,0.00%,3.56,00:00:44,0.00%,0,$0.00,,,
Chile,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,6,5,7,0.00%,3.43,00:00:04,0.00%,0,$0.00,,,
Chile,"Jan 1, 2023 - Jun 30, 2023",Without /es/,55,55,68,0.00%,3.57,00:00:48,0.00%,0,$0.00,,,
Iran,"Jan 1, 2023 - Jun 30, 2023",All Users,58,58,66,0.00%,3.76,00:00:32,0.00%,0,$0.00,,,
Iran,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:00,0.00%,0,$0.00,,,
Iran,"Jan 1, 2023 - Jun 30, 2023",Without /es/,57,57,65,0.00%,3.77,00:00:32,0.00%,0,$0.00,,,
Hong Kong,"Jan 1, 2023 - Jun 30, 2023",All Users,52,52,54,0.00%,3.83,00:00:22,0.00%,0,$0.00,,,
Hong Kong,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Hong Kong,"Jan 1, 2023 - Jun 30, 2023",Without /es/,52,52,54,0.00%,3.83,00:00:22,0.00%,0,$0.00,,,
Finland,"Jan 1, 2023 - Jun 30, 2023",All Users,51,50,56,0.00%,3.09,00:00:23,0.00%,0,$0.00,,,
Finland,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Finland,"Jan 1, 2023 - Jun 30, 2023",Without /es/,51,50,56,0.00%,3.09,00:00:23,0.00%,0,$0.00,,,
New Zealand,"Jan 1, 2023 - Jun 30, 2023",All Users,51,50,54,0.00%,3.78,00:01:08,0.00%,0,$0.00,,,
New Zealand,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
New Zealand,"Jan 1, 2023 - Jun 30, 2023",Without /es/,51,50,54,0.00%,3.78,00:01:08,0.00%,0,$0.00,,,
Taiwan,"Jan 1, 2023 - Jun 30, 2023",All Users,51,50,72,0.00%,3.42,00:00:24,0.00%,0,$0.00,,,
